Code,Account Name (AR),Account Name (EN),Debit,Credit,Statement Classification,Suggested Mapping
2015,التزام ضريبي مؤجل,Deferred Tax Liability,,150000,Non-Current Liabilities,Deferred Tax Liabilities
3001,رأس المال,Share Capital,,25000000,Equity,Share Capital
3002,احتياطي نظامي,Statutory Reserve,,2800000,Equity,Reserves
3003,احتياطي عام,General Reserve,,1100000,Equity,Reserves
3004,أرباح مبقاة — مرحلة,Retained Earnings — Brought Forward,,5500000,Equity,Retained Earnings
4001,إيرادات — جملة,Revenue — Wholesale,,48000000,Revenue,Revenue
4002,إيرادات — تجزئة,Revenue — Retail,,19000000,Revenue,Revenue
4003,مردودات ومسموحات مبيعات,Sales Returns & Allowances,1400000,,Contra-Revenue,Revenue (offset)
4010,إيرادات أخرى,Other Income,,600000,Other Income,Other Income
4011,أرباح استثمار في شركة زميلة,Investment Income — Associate,,450000,Other Income,Share of Profit of Associate
5001,تكلفة مبيعات — مشتريات,COGS — Purchases,40500000,,Cost of Sales,Cost of Sales
5002,تكلفة مبيعات — شحن وجمارك,COGS — Freight & Customs,2700000,,Cost of Sales,Cost of Sales
5003,تكلفة مبيعات — تسوية مخزون,COGS — Inventory Write-down,500000,,Cost of Sales,Cost of Sales
6001,رواتب وأجور,Salaries & Wages,8500000,,Operating Expense,Employee Costs
6002,اشتراكات التأمينات الاجتماعية,GOSI Contributions,1275000,,Operating Expense,Employee Costs
6003,مصروف إيجار,Rent Expense,2400000,,Operating Expense,Occupancy Costs
6004,مصروف مرافق,Utilities Expense,580000,,Operating Expense,Occupancy Costs
6005,أتعاب مهنية — تدقيق,Professional Fees — Audit,350000,,Operating Expense,Professional Fees
6006,أتعاب مهنية — قانونية,Professional Fees — Legal,250000,,Operating Expense,Professional Fees
6007,أتعاب مهنية — استشارات,Professional Fees — Consulting,1200000,,Operating Expense,Potential Reclassification (Capex)
6008,مصروف إهلاك,Depreciation Expense,2050000,,Operating Expense,Depreciation
6009,مصروف إطفاء,Amortisation Expense,100000,,Operating Expense,Amortisation
6010,مصروف ديون مشكوك فيها,Bad Debt Expense,300000,,Operating Expense,Impairment — Receivables
6011,مصروف تأمين,Insurance Expense,190000,,Operating Expense,Insurance
6012,مصروف دعاية وإعلان,Advertising & Marketing,1400000,,Operating Expense,Selling & Marketing
6013,مصروف سفر,Travel Expense,650000,,Operating Expense,Administrative Expenses
6014,مصروف صيانة,Repairs & Maintenance,420000,,Operating Expense,Repairs & Maintenance
6015,مصروف قرطاسية,Office Supplies,180000,,Operating Expense,Administrative Expenses
6016,مصروف عمولات بنكية,Bank Charges,130000,,Operating Expense,Finance Costs — Bank
6017,مصروف اتصالات,Telecom Expense,170000,,Operating Expense,Administrative Expenses
6020,تكلفة تمويل — مرابحة,Finance Cost — Murabaha,400000,,Finance Cost,Finance Costs
6021,تكلفة تمويل — قرض طويل,Finance Cost — LT Loan,580000,,Finance Cost,Finance Costs
6030,مصروف زكاة,Zakat Expense,780000,,Taxation,Zakat / Income Tax
