Task ID,Epic ID,Layer,Name,Status,Priority,Effort,Dependencies,Blocking,Parallel,Optional
T-1.2.1,EPIC-1.2,1,Audit ai-service.ts for mock paths,Not Started,Medium,S,EPIC-05.1,No,Yes,No
T-1.2.2,EPIC-1.2,1,Replace mock paths with real provider calls or hard error,Not Started,Medium,M,T-1.2.1,No,No,No
T-1.2.3,EPIC-1.2,1,Remove or gate AUDIT_ALLOW_MOCK_FALLBACK env flag,Not Started,Medium,XS,T-1.2.2,No,Yes,Optional
T-1.3.1,EPIC-1.3,1,Build integration test for audit governance bridge,Not Started,Medium,M,None,No,Yes,No
T-1.3.2,EPIC-1.3,1,Build integration test for audit export (PDF/XLSX),Not Started,Medium,M,None,No,Yes,No
T-1.3.3,EPIC-1.3,1,Build integration test for audit RBAC + tenant isolation,Not Started,Medium,M,None,No,Yes,No
T-1.3.4,EPIC-1.3,1,Build integration test for end-to-end engagement workflow,Not Started,Medium,L,None,No,No,No
T-1.4.1,EPIC-1.4,1,Finalize pricing document with tiers,Not Started,Critical,M,None,Yes,Yes,No
T-1.4.2,EPIC-1.4,1,Build one-page ROI calculator (audit-hours-saved model),Not Started,Critical,M,None,No,Yes,No
T-1.4.3,EPIC-1.4,1,Identify and approach 2-3 design partner prospects,Not Started,Critical,S,T-1.4.1,Yes,No,No
T-1.4.4,EPIC-1.4,1,Execute pilot onboarding per commercial-pack checklist,Not Started,Critical,M,T-1.4.3,No,No,No
T-1.4.5,EPIC-1.4,1,Sign LOI/SOW with first pilot customer,Not Started,Critical,M,T-1.4.4,Yes,No,No
T-1.4.6,EPIC-1.4,1,Collect pilot feedback and iterate,Not Started,High,L,T-1.4.5,No,No,No
T-3.1.1,EPIC-3.1,3,Design outcome-tracking dashboard schema and queries,Not Started,Medium,S,None,No,Yes,No
T-3.1.2,EPIC-3.1,3,Build decision portfolio view page,Not Started,Medium,M,T-3.1.1,No,No,No
T-3.1.3,EPIC-3.1,3,Add decision->outcome correlation analytics,Not Started,Medium,M,T-3.1.2,No,No,Optional
T-8.1.1,EPIC-8.1,8,Research and select pentest vendor,Not Started,Critical,S,None,Yes,Yes,No
T-8.1.2,EPIC-8.1,8,Schedule and scope pentest engagement,Not Started,Critical,S,T-8.1.1,Yes,No,No
T-8.1.3,EPIC-8.1,8,Receive and document pentest findings,Not Started,Critical,M,T-8.1.2,No,No,No
T-8.1.4,EPIC-8.1,8,Remediate critical/high findings,Not Started,Critical,L,T-8.1.3,Yes,No,No
